"Airport","Country","Date","Passengers"
"AMSTERDAM/SCHIPHOL airport","Netherlands",2002-02-01,0
"AMSTERDAM/SCHIPHOL airport","Netherlands",2002-03-01,0
"AMSTERDAM/SCHIPHOL airport","Netherlands",2002-04-01,0
"AMSTERDAM/SCHIPHOL airport","Netherlands",2002-05-01,0
"AMSTERDAM/SCHIPHOL airport","Netherlands",2002-06-01,0
"AMSTERDAM/SCHIPHOL airport","Netherlands",2002-07-01,0
"AMSTERDAM/SCHIPHOL airport","Netherlands",2002-08-01,0
"AMSTERDAM/SCHIPHOL airport","Netherlands",2002-09-01,0
"AMSTERDAM/SCHIPHOL airport","Netherlands",2002-10-01,0
"AMSTERDAM/SCHIPHOL airport","Netherlands",2002-11-01,0
"AMSTERDAM/SCHIPHOL airport","Netherlands",2002-12-01,0
"AMSTERDAM/SCHIPHOL airport","Netherlands",2003-01-01,0
"AMSTERDAM/SCHIPHOL airport","Netherlands",2003-02-01,0
"AMSTERDAM/SCHIPHOL airport","Netherlands",2003-03-01,0
"AMSTERDAM/SCHIPHOL airport","Netherlands",2003-04-01,0
"AMSTERDAM/SCHIPHOL airport","Netherlands",2003-05-01,0
"AMSTERDAM/SCHIPHOL airport","Netherlands",2003-06-01,0
"AMSTERDAM/SCHIPHOL airport","Netherlands",2003-07-01,0
"AMSTERDAM/SCHIPHOL airport","Netherlands",2003-08-01,0
"AMSTERDAM/SCHIPHOL airport","Netherlands",2003-09-01,0
"AMSTERDAM/SCHIPHOL airport","Netherlands",2003-10-01,0
"AMSTERDAM/SCHIPHOL airport","Netherlands",2003-11-01,0
"AMSTERDAM/SCHIPHOL airport","Netherlands",2003-12-01,0
"AMSTERDAM/SCHIPHOL airport","Netherlands",2004-01-01,2741680
"AMSTERDAM/SCHIPHOL airport","Netherlands",2004-02-01,2830639
"AMSTERDAM/SCHIPHOL airport","Netherlands",2004-03-01,3257673
"AMSTERDAM/SCHIPHOL airport","Netherlands",2004-04-01,3480085
"AMSTERDAM/SCHIPHOL airport","Netherlands",2004-05-01,3843271
"AMSTERDAM/SCHIPHOL airport","Netherlands",2004-06-01,3796961
"AMSTERDAM/SCHIPHOL airport","Netherlands",2004-07-01,4337767
"AMSTERDAM/SCHIPHOL airport","Netherlands",2004-08-01,4243630
"AMSTERDAM/SCHIPHOL airport","Netherlands",2004-09-01,3927202
"AMSTERDAM/SCHIPHOL airport","Netherlands",2004-10-01,3915296
"AMSTERDAM/SCHIPHOL airport","Netherlands",2004-11-01,3087396
"AMSTERDAM/SCHIPHOL airport","Netherlands",2004-12-01,2963792
"AMSTERDAM/SCHIPHOL airport","Netherlands",2005-01-01,2955792
"AMSTERDAM/SCHIPHOL airport","Netherlands",2005-02-01,2829925
"AMSTERDAM/SCHIPHOL airport","Netherlands",2005-03-01,3281195
"AMSTERDAM/SCHIPHOL airport","Netherlands",2005-04-01,3548011
"AMSTERDAM/SCHIPHOL airport","Netherlands",2005-05-01,4059648
"AMSTERDAM/SCHIPHOL airport","Netherlands",2005-06-01,3941175
"AMSTERDAM/SCHIPHOL airport","Netherlands",2005-07-01,4528594
"AMSTERDAM/SCHIPHOL airport","Netherlands",2005-08-01,4433151
"AMSTERDAM/SCHIPHOL airport","Netherlands",2005-09-01,4145737
"AMSTERDAM/SCHIPHOL airport","Netherlands",2005-10-01,4077132
"AMSTERDAM/SCHIPHOL airport","Netherlands",2005-11-01,3198519
"AMSTERDAM/SCHIPHOL airport","Netherlands",2005-12-01,3078660
"AMSTERDAM/SCHIPHOL airport","Netherlands",2006-01-01,3028207
"AMSTERDAM/SCHIPHOL airport","Netherlands",2006-02-01,2858444
"AMSTERDAM/SCHIPHOL airport","Netherlands",2006-03-01,3399315
"AMSTERDAM/SCHIPHOL airport","Netherlands",2006-04-01,3809864
"AMSTERDAM/SCHIPHOL airport","Netherlands",2006-05-01,4177409
"AMSTERDAM/SCHIPHOL airport","Netherlands",2006-06-01,4229858
"AMSTERDAM/SCHIPHOL airport","Netherlands",2006-07-01,4745405
"AMSTERDAM/SCHIPHOL airport","Netherlands",2006-08-01,4609029
"AMSTERDAM/SCHIPHOL airport","Netherlands",2006-09-01,4296542
"AMSTERDAM/SCHIPHOL airport","Netherlands",2006-10-01,4202552
"AMSTERDAM/SCHIPHOL airport","Netherlands",2006-11-01,3354349
"AMSTERDAM/SCHIPHOL airport","Netherlands",2006-12-01,3287541
"AMSTERDAM/SCHIPHOL airport","Netherlands",2007-01-01,3170664
"AMSTERDAM/SCHIPHOL airport","Netherlands",2007-02-01,3052454
"AMSTERDAM/SCHIPHOL airport","Netherlands",2007-03-01,3696398
"AMSTERDAM/SCHIPHOL airport","Netherlands",2007-04-01,3906712
"AMSTERDAM/SCHIPHOL airport","Netherlands",2007-05-01,4297467
"AMSTERDAM/SCHIPHOL airport","Netherlands",2007-06-01,4247603
"AMSTERDAM/SCHIPHOL airport","Netherlands",2007-07-01,4923087
"AMSTERDAM/SCHIPHOL airport","Netherlands",2007-08-01,4822114
"AMSTERDAM/SCHIPHOL airport","Netherlands",2007-09-01,4426398
"AMSTERDAM/SCHIPHOL airport","Netherlands",2007-10-01,4380397
"AMSTERDAM/SCHIPHOL airport","Netherlands",2007-11-01,3474064
"AMSTERDAM/SCHIPHOL airport","Netherlands",2007-12-01,3360066
"AMSTERDAM/SCHIPHOL airport","Netherlands",2008-01-01,3201813
"AMSTERDAM/SCHIPHOL airport","Netherlands",2008-02-01,3154065
"AMSTERDAM/SCHIPHOL airport","Netherlands",2008-03-01,3742538
"AMSTERDAM/SCHIPHOL airport","Netherlands",2008-04-01,3919780
"AMSTERDAM/SCHIPHOL airport","Netherlands",2008-05-01,4404781
"AMSTERDAM/SCHIPHOL airport","Netherlands",2008-06-01,4402487
"AMSTERDAM/SCHIPHOL airport","Netherlands",2008-07-01,4848577
